smaple_size,num_variables,kernel_time,multiplicative_time
100,2,3.105999999999767,0.06799999999930151
100,3,4.0350000000034925,0.07000000000698492
100,4,6.540999999997439,0.061000000016065314
100,5,9.89900000000489,0.07300000000395812
100,6,14.753999999986263,0.07099999999627471
100,7,21.285000000003492,0.07899999999790452
100,8,30.502999999996973,0.07300000000395812
100,9,45.0570000000007,0.07399999999324791
100,10,79.67199999999139,0.07600000000093132
100,11,143.82000000000698,0.07999999998719431
100,12,152.99299999998766,0.08199999999487773
100,13,150.82800000000861,0.07899999999790452
100,14,155.34700000000885,0.09799999999813735
100,15,160.7960000000021,0.09100000001490116
100,16,163.05399999997462,0.09700000000884756
100,17,162.23500000001513,0.09200000000419095
100,18,167.18299999999,0.10300000000279397
100,19,163.67699999999604,0.10899999999674037
100,20,169.53900000001886,0.12099999998463318
100,25,178.9900000000198,0.12299999999231659
100,30,199.01400000002468,0.13300000000162981
100,35,195.5800000000163,0.13899999999557622
100,40,212.30199999999604,0.15700000000651926
100,45,226.84700000000885,0.1750000000174623
100,50,237.3859999999986,0.20300000000861473
100,60,257.16300000000047,0.22599999999511056
100,70,289.84700000000885,0.3389999999781139
100,80,333.3410000000149,0.35899999999674037
100,90,351.6569999999774,0.5579999999899883
100,100,419.57300000000396,0.4599999999918509
